threshold,precision,recall,f1,false_positives,false_negatives
0.2,0.18233662359277839,0.8416868524110849,0.2997398836791734,707426,29672
0.21000000000000002,0.18624470646119243,0.7917044593599607,0.3015509799299295,648340,39040
0.22000000000000003,0.18822903530895335,0.7645417391397138,0.3020851559914241,617985,44131
0.23000000000000004,0.19031719993212023,0.7359918047656142,0.3024301798765014,586867,49482
0.24000000000000005,0.19228971284225196,0.7066949089240554,0.3023192117282133,556367,54973
0.25000000000000006,0.19416439767458973,0.6757226852197667,0.3016513079702464,525624,60778
0.26000000000000006,0.19623031619058748,0.6451239422492077,0.300926450183859,495266,66513
0.2700000000000001,0.19815141133164874,0.6137729023721362,0.2995844927647573,465514,72389
0.2800000000000001,0.20022011684535873,0.5823791789826385,0.29799164881905454,436012,78273
0.2900000000000001,0.2021865626639726,0.5509801201540875,0.29581971463028267,407488,84158
0.3000000000000001,0.20426516952791948,0.5202426557681432,0.29335074257537447,379848,89919
0.3100000000000001,0.2061866801029314,0.4890676853798299,0.2900787032788286,352904,95762
0.3200000000000001,0.2081313249891684,0.4587837333134144,0.28635510657393237,327155,101438
0.3300000000000001,0.21017925602482007,0.4294014704470031,0.28222014159925096,302435,106945
0.34000000000000014,0.21226752049151398,0.4011129725865141,0.27761970616528525,278992,112247
0.35000000000000014,0.21417091426734627,0.3732673161674474,0.2721750074404617,256695,117466
0.36000000000000015,0.21587634964258773,0.34659012090104896,0.2660446943619084,235953,122466
0.37000000000000016,0.2175536441828882,0.3205104948086178,0.25918183759715757,216053,127354
0.38000000000000017,0.21961283386952707,0.2964690064345395,0.25231811535632226,197452,131860
0.3900000000000002,0.2217141177640138,0.2736866816770352,0.24497417541614233,180065,136130
0.4000000000000002,0.22338373762599098,0.2515125969716048,0.23661510893380147,163887,140286
0.4100000000000002,0.2255110001560306,0.23133930191115426,0.2283879735367241,148911,144067
0.4200000000000002,0.2275254361505385,0.2120196770992285,0.21949905959749116,134915,147688
0.4300000000000002,0.22917784609945643,0.19368710851215948,0.20994312184994232,122099,151124
0.4400000000000002,0.23120810055865923,0.1766510516150374,0.20028067968036392,110091,154317
0.45000000000000023,0.23321582088629125,0.16094885448123525,0.19045755017772922,99182,157260
0.46000000000000024,0.23527242792707814,0.14638844130483497,0.18048045677599295,89181,159989
0.47000000000000025,0.23729525008824398,0.13271371101127913,0.17022470564484396,79949,162552
0.48000000000000026,0.23886128100577642,0.12002070150352673,0.15976449030901768,71681,164931
0.49000000000000027,0.24142135104103785,0.10882161493069265,0.15002077901062488,64087,167030
0.5000000000000002,0.24355984310399661,0.09806536979928078,0.13983034729354482,57084,169046
